Dataset,Strategy,|V|,|E|,AvgDeg,EccCalls,PrunedNodes,TotalTime(s),Memory(KB)
../Dataset/cs4.mtx,1,22499,87716,3.9,158.0,22499.0,0.07,3899392.0
../Dataset/cs4.mtx,2,22499,87716,3.9,153.0,22499.0,0.06,4046848.0
../Dataset/cs4.mtx,3,22499,87716,3.9,349.0,22499.0,0.15,3866624.0
../Dataset/delaunay_n14.mtx,1,16384,98244,6.0,573.0,16384.0,0.21,4587520.0
../Dataset/delaunay_n14.mtx,2,16384,98244,6.0,523.0,16384.0,0.19,4390912.0
../Dataset/delaunay_n14.mtx,3,16384,98244,6.0,628.0,16384.0,0.23,4571136.0
../Dataset/delaunay_n15.mtx,1,32768,196548,6.0,669.0,32768.0,0.49,7585792.0
../Dataset/delaunay_n15.mtx,2,32768,196548,6.0,631.0,32768.0,0.46,7454720.0
../Dataset/delaunay_n15.mtx,3,32768,196548,6.0,988.0,32768.0,0.72,7421952.0
../Dataset/fe_4elt2.mtx,1,11143,65636,5.89,166.0,11143.0,0.03,3342336.0
../Dataset/fe_4elt2.mtx,2,11143,65636,5.89,143.0,11143.0,0.03,3325952.0
../Dataset/fe_4elt2.mtx,3,11143,65636,5.89,202.0,11143.0,0.04,3375104.0
../Dataset/smallworld.mtx,1,100000,999996,10.0,11431.0,100000.0,50.63,33964032.0
../Dataset/smallworld.mtx,2,100000,999996,10.0,20625.0,100000.0,89.1,35045376.0
../Dataset/smallworld.mtx,3,100000,999996,10.0,14146.0,100000.0,60.6,33898496.0
