iter,|W|,DeltaL,DeltaU,Strategy
0,22498,49,98,1
1,21156,71,98,1
2,20376,71,98,1
3,20005,71,98,1
4,17825,73,98,1
5,14888,73,98,1
6,14466,73,98,1
7,13873,73,98,1
8,12808,73,98,1
9,8943,73,94,1
10,8479,73,94,1
11,8052,73,94,1
12,7753,73,94,1
13,6099,75,94,1
14,5932,75,94,1
15,5836,75,94,1
16,5728,75,94,1
17,5563,75,94,1
18,4393,75,94,1
19,4331,75,94,1
20,4208,75,94,1
21,4048,75,94,1
22,3949,75,94,1
23,2129,75,90,1
24,1803,75,90,1
25,1708,75,90,1
26,1572,75,90,1
27,1536,75,90,1
28,1508,75,90,1
29,1494,75,90,1
30,1479,75,90,1
31,1441,75,90,1
32,1372,75,90,1
33,1339,75,90,1
34,1315,75,90,1
35,1285,75,90,1
36,1270,75,90,1
37,1265,75,90,1
38,1245,75,90,1
39,1219,75,90,1
40,1200,75,90,1
41,1150,75,90,1
42,1116,75,90,1
43,1104,75,90,1
44,1086,75,90,1
45,1077,75,90,1
46,1020,75,90,1
47,1014,75,90,1
48,932,75,90,1
49,924,75,90,1
50,850,75,90,1
51,814,75,90,1
52,813,75,90,1
53,798,75,90,1
54,762,75,90,1
55,686,75,90,1
56,679,75,90,1
57,669,75,90,1
58,665,75,90,1
59,664,75,90,1
60,654,75,90,1
61,641,75,90,1
62,635,75,90,1
63,630,75,90,1
64,619,75,90,1
65,607,75,90,1
66,605,75,90,1
67,597,75,90,1
68,581,75,90,1
69,546,75,90,1
70,535,75,90,1
71,532,75,90,1
72,529,75,90,1
73,528,75,90,1
74,523,75,90,1
75,504,75,90,1
76,494,75,90,1
77,492,75,90,1
78,477,75,90,1
79,472,75,90,1
80,469,75,90,1
81,460,75,90,1
82,457,75,90,1
83,456,75,90,1
84,425,75,90,1
85,403,75,90,1
86,391,75,90,1
87,387,75,90,1
88,385,75,90,1
89,382,75,90,1
90,343,75,90,1
91,333,75,90,1
92,332,75,90,1
93,321,75,90,1
94,304,75,90,1
95,278,75,90,1
96,274,75,90,1
97,266,75,90,1
98,265,75,90,1
99,264,75,90,1
100,245,75,90,1
101,239,75,90,1
102,235,75,90,1
103,231,75,90,1
104,228,75,90,1
105,226,75,90,1
106,218,75,90,1
107,212,75,90,1
108,194,75,90,1
109,191,75,90,1
110,190,75,90,1
111,181,75,90,1
112,176,75,90,1
113,171,75,90,1
114,166,75,90,1
115,164,75,90,1
116,93,75,88,1
117,77,75,88,1
118,73,75,88,1
119,72,75,88,1
120,68,75,88,1
121,64,75,88,1
122,60,75,88,1
123,56,75,88,1
124,55,75,88,1
125,51,75,88,1
126,45,75,88,1
127,44,75,88,1
128,43,75,88,1
129,41,75,88,1
130,40,75,88,1
131,37,75,88,1
132,36,75,88,1
133,35,75,88,1
134,34,75,88,1
135,33,75,88,1
136,32,75,88,1
137,29,75,88,1
138,28,75,88,1
139,26,75,88,1
140,24,75,88,1
141,23,75,88,1
142,19,75,88,1
143,17,75,88,1
144,15,75,88,1
145,14,75,88,1
146,13,75,88,1
147,12,75,88,1
148,11,75,88,1
149,10,75,88,1
150,8,75,88,1
151,6,75,88,1
152,5,75,88,1
153,4,75,88,1
154,3,75,88,1
155,2,75,88,1
156,1,75,88,1
157,0,75,88,1
0,22498,49,98,2
1,22497,59,98,2
2,21902,65,98,2
3,21469,65,98,2
4,20906,65,98,2
5,17832,65,90,2
6,6058,75,90,2
7,5887,75,90,2
8,5556,75,90,2
9,3898,75,90,2
10,3665,75,90,2
11,3483,75,90,2
12,3399,75,90,2
13,3308,75,90,2
14,3283,75,90,2
15,3104,75,90,2
16,2949,75,90,2
17,2908,75,90,2
18,2867,75,90,2
19,2689,75,90,2
20,2673,75,90,2
21,2661,75,90,2
22,2642,75,90,2
23,2624,75,90,2
24,2404,75,90,2
25,2327,75,90,2
26,2212,75,90,2
27,2174,75,90,2
28,2142,75,90,2
29,2136,75,90,2
30,2103,75,90,2
31,2098,75,90,2
32,2067,75,90,2
33,2051,75,90,2
34,1915,75,90,2
35,1842,75,90,2
36,1826,75,90,2
37,1802,75,90,2
38,1682,75,90,2
39,1612,75,90,2
40,1556,75,90,2
41,1531,75,90,2
42,1487,75,90,2
