iter,|W|,DeltaL,DeltaU,Strategy
0,11142,106,212,1
1,11141,106,204,1
2,11136,106,204,1
3,11097,106,198,1
4,10992,113,198,1
5,10725,113,188,1
6,10653,115,188,1
7,10646,115,188,1
8,10274,115,188,1
9,10149,115,188,1
10,7942,115,178,1
11,6470,117,178,1
12,6302,117,178,1
13,5629,117,178,1
14,4841,117,174,1
15,4495,117,174,1
16,4122,117,174,1
17,3990,117,174,1
18,3954,117,174,1
19,3821,117,174,1
20,3723,117,174,1
21,3646,117,174,1
22,3568,117,174,1
23,3382,117,174,1
24,3007,118,174,1
25,2764,118,174,1
26,2559,118,174,1
27,2315,118,174,1
28,2212,118,174,1
29,2196,118,174,1
30,2134,118,174,1
31,2016,118,174,1
32,1843,118,174,1
33,1807,118,174,1
34,1677,118,174,1
35,1590,118,174,1
36,1545,118,174,1
37,1439,118,174,1
38,1405,118,174,1
39,1291,118,174,1
40,1183,118,174,1
41,1163,118,174,1
42,1110,118,174,1
43,1100,118,174,1
44,1095,118,174,1
45,1081,118,174,1
46,1074,118,174,1
47,1028,118,174,1
48,1023,118,174,1
49,990,118,174,1
50,959,118,174,1
51,902,118,174,1
52,887,118,174,1
53,865,118,174,1
54,856,118,174,1
55,840,118,174,1
56,776,118,174,1
57,760,118,174,1
58,722,118,174,1
59,703,118,174,1
60,675,118,174,1
61,672,118,174,1
62,648,118,174,1
63,610,118,174,1
64,463,119,174,1
65,360,120,174,1
66,348,120,174,1
67,341,120,174,1
68,327,120,174,1
69,326,120,174,1
70,319,120,174,1
71,298,120,174,1
72,280,120,174,1
73,273,120,174,1
74,272,120,174,1
75,262,120,174,1
76,245,120,174,1
77,239,120,174,1
78,232,120,174,1
79,211,120,174,1
80,203,120,174,1
81,198,120,174,1
82,181,120,174,1
83,171,120,174,1
84,166,120,174,1
85,159,120,174,1
86,158,120,174,1
87,152,120,174,1
88,151,120,174,1
89,150,120,174,1
90,147,120,174,1
91,146,120,174,1
92,132,120,174,1
93,128,120,174,1
94,125,120,174,1
95,121,120,174,1
96,119,120,174,1
97,117,120,174,1
98,116,120,174,1
99,115,120,174,1
100,114,120,174,1
101,113,120,174,1
102,112,120,174,1
103,111,120,174,1
104,104,120,174,1
105,103,120,174,1
106,101,120,174,1
107,98,120,174,1
108,91,120,174,1
109,89,120,174,1
110,88,120,174,1
111,86,120,174,1
112,85,120,174,1
113,82,120,174,1
114,78,120,174,1
115,76,120,174,1
116,72,120,174,1
117,68,120,174,1
118,67,120,174,1
119,66,120,174,1
120,65,120,174,1
121,64,120,174,1
122,63,120,174,1
123,62,120,174,1
124,60,120,174,1
125,57,120,174,1
126,56,120,174,1
127,55,120,174,1
128,54,120,174,1
129,48,120,174,1
130,47,120,174,1
131,37,121,174,1
132,36,121,174,1
133,34,121,174,1
134,32,121,174,1
135,31,121,174,1
136,30,121,174,1
137,29,121,174,1
138,28,121,174,1
139,27,121,174,1
140,26,121,174,1
141,25,121,174,1
142,23,121,174,1
143,22,121,174,1
144,21,121,174,1
145,20,121,174,1
146,19,121,174,1
147,18,121,174,1
148,17,121,174,1
149,16,121,174,1
150,15,121,174,1
151,14,121,174,1
152,13,121,174,1
153,12,121,174,1
154,11,121,174,1
155,10,121,174,1
156,9,121,174,1
157,8,121,174,1
158,7,121,174,1
159,6,121,174,1
160,5,121,174,1
161,4,121,174,1
162,3,121,174,1
163,2,121,174,1
164,1,121,174,1
165,0,121,174,1
0,11142,106,212,2
1,11141,106,204,2
2,11106,112,204,2
3,10954,112,188,2
4,10736,117,188,2
5,10687,117,188,2
6,10280,117,188,2
7,9131,117,178,2
8,8965,117,178,2
9,8888,117,178,2
10,8835,117,178,2
11,8304,117,178,2
12,6573,121,178,2
13,5367,121,174,2
14,5265,121,174,2
15,4615,121,174,2
16,4152,121,174,2
17,3858,121,174,2
18,3846,121,174,2
19,3821,121,174,2
20,3022,121,174,2
21,3003,121,174,2
22,2622,121,174,2
23,2554,121,174,2
24,2246,121,174,2
25,2096,121,174,2
26,1816,121,174,2
27,1713,121,174,2
28,1617,121,174,2
29,1551,121,174,2
30,1515,121,174,2
31,1496,121,174,2
32,1300,121,174,2
33,1276,121,174,2
34,1124,121,174,2
35,1117,121,174,2
36,1099,121,174,2
37,999,121,174,2
38,871,121,174,2
39,870,121,174,2
40,764,121,174,2
41,745,121,174,2
42,725,121,174,2
43,697,121,174,2
44,670,121,174,2
45,636,121,174,2
46,629,121,174,2
47,580,121,174,2
48,541,121,174,2
49,521,121,174,2
50,478,121,174,2
51,465,121,174,2
52,376,121,174,2
53,369,121,174,2
54,353,121,174,2
55,346,121,174,2
56,333,121,174,2
57,332,121,174,2
58,313,121,174,2
59,312,121,174,2
